M-34-101-A-b-3-3-1,-
M-34-100-B-c-1-2-4,Wyżni Kopieńcowy Przechód
M-34-100-B-c-1-2-3,Wyżnia Jarząbcza Polana
M-34-100-B-c-1-2-2,Zawiesista
M-34-100-B-c-1-2-2,Schron przy Szczelinie
M-34-100-B-c-1-2-2,Szczelina Chochołowska
M-34-100-B-c-1-2-3,Polana Chochołowska
M-34-100-B-c-1-2-3,Polana Jarząbcza Niżnia
M-34-100-B-c-1-2-3,Polana Jarząbcza
M-34-100-B-c-1-2-1,Hrubasowy Upłaz
M-34-100-B-c-1-2-2,Pod Cień
M-34-100-B-c-1-2-2,Organy
M-34-100-B-d-2-2-2,Bałda
M-34-100-B-d-2-2-4,Dwoiśniak
M-34-100-B-d-2-2-4,Dolina Gąsienicowa
M-34-100-B-d-2-2-4,Gładkie Stawiańskie
M-34-100-B-d-2-2-3,Nad Zakosy
M-34-100-B-d-2-2-1,Dolina Goryczkowa
M-34-100-B-d-2-2-1,Hala Goryczkowa
M-34-100-B-d-2-2-3,Goryczkowy Potok
M-34-100-B-d-2-2-1,Goryczkowy Potok
M-34-100-B-d-2-2-2,Jaworzyńska Przełęcz
M-34-100-B-d-2-2-2,Jedyniak
M-34-100-B-d-2-2-2,Dolina Kasprowa
M-34-100-B-d-2-2-2,Hala Kasprowa
M-34-100-B-d-2-2-4,Kasprowy Kocioł
M-34-100-B-d-2-2-2,Kasprowy Potok
M-34-100-B-d-2-2-2,Kasprowy Potok
M-34-100-B-d-2-2-3,Kasprowy Wierch
M-34-100-B-d-2-2-4,Kotlinowy Stawek
M-34-100-B-d-2-2-4,Kotliny
M-34-100-B-d-2-2-4,Litworowy Staw
M-34-100-B-d-2-2-2,Małe Uhrocie Kasprowe
M-34-100-B-d-2-2-2,Miękusy
M-34-100-B-d-2-2-4,Nalepki
M-34-100-B-d-2-2-2,Niżnie Kasprowe Siodło
M-34-100-B-d-2-2-4,Obłazki
M-34-100-B-d-2-2-1,Pod Upłazki
M-34-100-B-d-2-2-3,Pod Zakosy
M-34-100-B-d-2-2-3,Pułki
M-34-100-B-d-2-2-4,Samotniak
M-34-100-B-d-2-2-4,Skałka
M-34-100-B-d-2-2-2,Stare Szałasiska
M-34-100-B-d-2-2-2,Stawiański Upłaz
M-34-100-B-d-2-2-1,Sucha Czuba
M-34-100-B-d-2-2-4,Sucha Dolina Stawiańska
M-34-100-B-d-2-2-3,Dolina Sucha Kasprowa
M-34-100-B-d-2-2-3,Sucha Przełęcz
M-34-100-B-d-2-2-1,Suchy Upłaz
M-34-100-B-d-2-2-4,Szałasiska
M-34-100-B-d-2-2-3,Szyjka
M-34-100-B-d-2-2-2,Świński Żlebek
M-34-100-B-d-2-2-4,Troiśniak
M-34-100-B-d-2-2-4,Uhrocie Kasprowe
M-34-100-B-d-2-2-1,Wyżnia Goryczkowa Rówień
M-34-100-B-d-2-2-2,Wyżnia Kasprowa Rówień
M-34-100-B-d-2-2-4,Wyżnie Kasprowe Siodło
M-34-100-B-d-2-2-3,Zakosy
M-34-100-B-d-2-2-2,Zawrat Kasprowy
M-34-100-B-d-2-2-2,Zielone Korycisko
M-34-100-B-d-2-2-2,Zielone Turnie
M-34-100-B-d-2-2-2,Żółte Turniczki
M-34-100-B-d-2-2-2,Dziura pod Jaskinią Magurską
M-34-100-B-d-2-2-2,Nyża pod Jaskinią Magurską Pierwsza
M-34-100-B-d-2-2-2,Nyża pod Jaskinią Magurską Druga
M-34-100-B-d-2-2-2,Nyża pod Jaskinią Magurską Czwarta
M-34-100-B-d-2-2-2,Nyża pod Zawracikiem
M-34-100-B-d-2-2-2,Szczelina nad Jaskinią Magurską
M-34-100-B-d-2-2-2,Schron nad Przełączką
M-34-100-B-d-2-2-4,Dolina Zielona Gąsienicowa
M-34-100-B-d-2-2-2,Gładkie Jaworzyńskie
M-34-100-B-d-2-2-2,Mechy
M-34-100-B-d-2-2-3,Palec
M-34-100-B-d-2-2-3,Goryczkowy Kocioł
M-34-100-B-d-2-2-3,Kotliny
M-34-100-B-d-2-2-2,Stare Szałasiska
M-34-100-B-d-2-2-2,Amfiteatr
M-34-100-B-d-2-2-2,Żleb Borkowskiego
M-34-100-B-d-2-2-1,Żleb Bryi
M-34-100-B-d-2-2-4,Żleb Ciaptaka
M-34-100-B-d-2-2-2,Dziewiczy Komin
M-34-100-B-d-2-2-3,Goryczkowa Bula
M-34-100-B-d-2-2-2,Kasprowe Wywierzysko
M-34-101-A-b-1-4-1,Górków Wierch
M-34-101-A-b-1-4-1,Groniczek
M-34-101-A-b-1-4-1,Jaworowy Potok
M-34-101-A-b-1-4-1,Jaworowy Potok
M-34-101-A-b-1-4-1,Kramarzówka
M-34-101-A-b-1-4-1,Księża Polana
M-34-101-A-c-1-2-1,Bacowski Żleb
M-34-101-A-c-1-2-3,Barani Żleb
M-34-101-A-c-1-2-3,Cesarka
M-34-101-A-c-1-2-2,Czarne Turnie
M-34-101-A-c-1-2-1,Czerwony Staw
M-34-101-A-c-1-2-1,Głazów Żleb
M-34-101-A-c-1-2-1,Juhaskie Moczydło
M-34-101-A-c-1-2-1,Kamienisty Żleb
M-34-101-A-c-1-2-2,Kocioł Świstowy
M-34-101-A-c-1-2-1,Komory
M-34-101-A-c-1-2-4,Koszysta
M-34-101-A-c-1-2-2,Koszysta
M-34-101-A-c-1-2-2,Koszysta
M-34-101-A-c-1-2-2,Limbowa Ubocz
M-34-101-A-c-1-2-3,Mała Kopka
M-34-101-A-c-1-2-2,Mała Koszysta
M-34-101-A-c-1-2-1,Niżnie Zielone
M-34-101-A-c-1-2-1,Pańszczyca
M-34-101-A-c-1-2-3,Pańszczycka Koleba
M-34-101-A-c-1-2-3,Pańszczycka Przełęcz
M-34-101-A-c-1-2-3,Pańszczycka Turnia
M-34-101-A-c-1-2-1,Pańszczycki Potok
M-34-101-A-c-1-2-2,Pieski
M-34-101-A-c-1-2-4,Pośredni Wołoszyn
M-34-101-A-c-1-2-4,Pośrednia Równica
M-34-101-A-c-1-2-2,Skrajny Upłaz
M-34-101-A-c-1-2-2,Strzałby
M-34-101-A-c-1-2-2,Świstówka Waksmundzka
M-34-101-A-c-1-2-2,Trojak
M-34-101-A-c-1-2-4,Waksmundzka Strażnica
M-34-101-A-c-1-2-4,Waksmundzki Potok
M-34-101-A-c-1-2-4,Waksmundzki Potok
M-34-101-A-c-1-2-4,Waksmundzki Potok
M-34-101-A-c-1-2-4,Waksmundzki Wierch
M-34-101-A-c-1-2-3,Wielka Kopa
M-34-101-A-c-1-2-4,Koszysta
M-34-101-A-c-1-2-3,Wierch pod Fajki
M-34-101-A-c-1-2-4,Wołoszyn
M-34-101-A-c-1-2-4,Wołoszyńska Przełęcz Niżnia
M-34-101-A-c-1-2-4,Wołoszyńska Przełęcz Wyżnia
M-34-101-A-c-1-2-4,Wołoszyńska Szczerbina
M-34-101-A-c-1-2-3,Wyżnie Szpiglasowe Wrótka
M-34-101-A-c-1-2-2,Zadni Upłaz
M-34-101-A-c-1-2-1,Zadni Upłaz
M-34-101-A-c-1-2-1,Zadni Upłaz
M-34-101-A-c-1-2-4,Zadnia Równica
M-34-101-A-c-1-2-3,Zadnie Usypy
M-34-101-A-c-1-2-2,Zbójnicka Dolinka
M-34-101-A-c-1-2-3,Żółta Przełęcz
M-34-101-A-c-1-2-3,Wyżnia Pańszczycka Przełączka
M-34-101-A-c-1-2-3,Przełączka pod Fajki
M-34-101-A-c-1-2-3,Przełączka pod Fajki
M-34-101-A-c-1-2-1,Wyżnie Zielone
M-34-101-A-c-1-2-3,Moreny
M-34-100-B-b-2-3-3,Bucznik
M-34-100-B-b-2-3-1,Bucznik
M-34-100-B-b-2-3-1,Bucznik
M-34-100-B-b-2-3-1,Bystra
M-34-100-B-b-2-3-4,Bystra
M-34-100-B-b-2-3-4,Bystra
M-34-100-B-b-2-3-4,Bystra
M-34-100-B-b-2-3-2,Chyców Potok
M-34-100-B-b-2-3-2,Chyców Potok
M-34-100-B-b-2-3-3,Cicha Woda
M-34-100-B-b-2-3-3,Cicha Woda
M-34-100-B-b-2-3-3,Czarny Potok
M-34-100-B-b-2-3-3,Foluszowy Potok
M-34-100-B-b-2-3-4,Foluszowy Potok
M-34-100-B-b-2-3-3,Gładczański Potok
M-34-100-B-b-2-3-3,Gładczański Potok
M-34-100-B-b-2-3-3,Górka
M-34-100-B-b-2-3-2,Kotelnicki Potok
M-34-100-B-b-2-3-3,Młyniska
M-34-100-B-b-2-3-3,Młyniska
M-34-100-B-b-2-3-1,Michnów Potok
M-34-100-B-b-2-3-1,Michnów Potok
M-34-100-B-b-2-3-1,Reblów Potok
M-34-100-B-b-2-3-4,Równia Krupowa Dolna
M-34-100-B-b-2-3-4,Równia Krupowa Górna
M-34-100-B-b-2-3-4,Szymoński Wierch
M-34-100-B-b-2-3-3,Walczacki Potok
M-34-100-B-b-2-3-1,Walowa Góra
M-34-100-B-b-2-3-1,Walowa Grapa
M-34-100-B-b-2-3-3,Walowy Potok
M-34-100-B-b-2-3-1,Walowy Potok
M-34-100-B-b-2-3-3,Walowy Potok
M-34-100-B-b-2-3-3,Zakopianka
M-34-100-B-b-2-3-2,Zakopianka
M-34-100-B-b-2-3-2,Zakopianka
M-34-100-B-b-2-3-4,Antałówka
M-34-100-B-b-2-3-1,Pasmo Gubałowskie
M-34-100-B-b-2-3-3,Zakopisko
M-34-100-B-b-2-3-4,Park Lecha Kaczyńskiego
M-34-100-B-b-2-3-4,Równia Krupowa
M-34-100-B-c-2-4-3,Babi Potok
M-34-100-B-c-2-4-3,Babi Potok
M-34-100-B-c-2-4-4,Dolinczańska Wolarnia
M-34-100-B-c-2-4-1,Dolinczański Potok
M-34-100-B-c-2-4-4,Dolinczański Potok
M-34-100-B-c-2-4-4,Dolinczański Potok
M-34-100-B-c-2-4-4,Jaferowy Grzbiet
M-34-100-B-c-2-4-4,Jaferowy Żleb
M-34-100-B-c-2-4-3,Jaworzynka
M-34-100-B-c-2-4-4,Kopa
M-34-100-B-c-2-4-1,Mała Polanka Ornaczańska
M-34-100-B-c-2-4-3,Młyniska
M-34-100-B-c-2-4-2,Niżnia Smreczyńska Polana
M-34-100-B-c-2-4-1,Ornaczański Żleb
M-34-100-B-c-2-4-1,Hala Ornak
M-34-100-B-c-2-4-3,Hala Pyszna
M-34-100-B-c-2-4-3,Dolina Pyszniańska
M-34-100-B-c-2-4-3,Pyszniański Potok
M-34-100-B-c-2-4-1,Pyszniański Potok
M-34-100-B-c-2-4-1,Skoruśniak
M-34-100-B-c-2-4-2,Skrajny Smreczyński Grzbiet
M-34-100-B-c-2-4-2,Smreczyny
M-34-100-B-c-2-4-2,Smreczyński Staw
M-34-100-B-c-2-4-1,Stara Wolarnia
M-34-100-B-c-2-4-1,Surowina
M-34-100-B-c-2-4-2,Dolina Tomanowa
M-34-100-B-c-2-4-2,Tomanowy Potok
M-34-100-B-c-2-4-2,Tomanowy Potok
M-34-100-B-c-2-4-1,Wielka Polana Ornaczańska
M-34-100-B-c-2-4-2,Wyżnia Smreczyńska Polana
M-34-100-B-c-2-4-1,Wyżnie Ornaczańskie
M-34-100-B-c-2-4-1,Żleb pod Banie
M-34-100-B-c-2-4-1,Nyża w Smytniej
M-34-100-B-c-2-4-3,Niżnia Polana Pyszna
M-34-101-A-a-3-1-3,Chłabowski Potok
M-34-101-A-a-3-1-1,Chłabowski Potok
M-34-101-A-a-3-1-1,Chłabowski Potok
M-34-101-A-a-3-1-1,Chłabowski Potok
M-34-101-A-a-3-1-2,Chowańców Potok
M-34-101-A-a-3-1-2,Chowańców Potok
M-34-101-A-a-3-1-2,Hrubiański Potok
M-34-101-A-a-3-1-1,Jaskinia Jaszczurowska Wodna
M-34-101-A-a-3-1-1,Jaskinia Jaszczurowska Wyżnia
M-34-101-A-a-3-1-3,Kopieniec
M-34-101-A-a-3-1-4,Kopieniec
M-34-101-A-a-3-1-4,Kotlinowy Wierch
M-34-101-A-a-3-1-3,Mały Kopieniec
M-34-101-A-a-3-1-3,Olczysko
M-34-101-A-a-3-1-3,Olczanka
M-34-101-A-a-3-1-3,Przełęcz między Kopieńcami
M-34-101-A-a-3-1-3,Dolina Sucha
M-34-101-A-a-3-1-3,Szałasiska
M-34-101-A-a-3-1-2,Toporowy Staw Niżni
M-34-101-A-a-3-1-4,Toporowy Staw Wyżni
M-34-101-A-a-3-1-4,Wielki Kopieniec
M-34-101-A-a-3-1-2,Toporowa Cyrhla
M-34-101-A-a-3-1-2,Droga Oswalda Balzera
M-34-101-A-a-3-1-4,Dolinka Chłabowska
M-34-101-A-c-3-4-2,Mięguszowiecka Przełęcz
M-34-101-A-c-3-4-2,Mięguszowiecki Szczyt
M-34-101-A-c-3-4-2,Mała Mięguszowiecka Igła
M-34-101-A-c-3-4-2,Wielka Mięguszowiecka Igła
M-34-101-A-c-3-4-2,Szczerbina miedzy Mięguszowieckimi Igłami
M-34-101-A-c-3-4-2,Szczerbina nad Igłami
M-34-101-A-c-3-4-2,Igła Milówki
M-34-101-A-c-3-4-2,Komin Martina
M-34-101-A-c-3-4-2,Półki Ratowników
M-34-101-A-c-3-4-2,Mięguszowiecka Baszta
M-34-101-A-c-3-4-2,Mięguszowiecka Szczerbinka
M-34-101-A-c-3-4-2,Rynny Szulakiewicza
M-34-101-A-c-3-4-2,Mięguszowiecki Przechód
M-34-101-A-c-3-4-2,Mięguszowiecka Szczerba
M-34-101-A-c-3-4-2,Rynna Wawryki
M-34-101-A-c-3-4-2,Filar Zaremby
M-34-101-A-c-3-4-2,Mięguszowiecki Przechód
M-34-101-A-c-3-4-2,Depresja Korosadowicza
M-34-101-A-c-3-4-2,Zacięcie Szczuki
M-34-101-A-c-3-4-2,Załupa Świerza
M-34-101-A-c-3-4-2,Komin Krygowskiego
M-34-101-A-c-3-4-2,Cienka Igła
M-34-101-A-a-1-2-1,Budzów Potok
M-34-101-A-a-1-2-3,Budzów Potok
M-34-101-A-a-1-2-3,Budzów Potok
M-34-101-A-a-1-2-3,Budzów Wierch
M-34-101-A-a-1-2-2,Dolina
M-34-101-A-a-1-2-4,Furtakówka
M-34-101-A-a-1-2-3,Gackowe Potoczki
M-34-101-A-a-1-2-2,Kunowski Potok
M-34-101-A-a-1-2-2,Kunowski Potok
M-34-101-A-a-1-2-2,Kotliny
M-34-101-A-a-1-2-2,Nosal
M-34-101-A-a-1-2-2,Nowy Bór
M-34-101-A-a-1-2-1,Poroniec
M-34-101-A-a-1-2-1,Poroniec
M-34-101-A-a-1-2-2,Sichlański Potok
M-34-101-A-a-1-2-4,Sichlański Potok
M-34-101-A-a-1-2-2,Skalnite
M-34-101-A-a-1-2-4,Stary Bór
M-34-101-A-a-1-2-1,Upust
M-34-101-A-a-1-2-1,Upust
M-34-101-A-a-1-2-3,Upust
M-34-101-A-a-1-2-2,Za Potokiem
M-34-101-A-a-1-2-4,Za Wałem
M-34-101-A-a-1-2-1,Cicha Woda
M-34-101-A-a-1-2-4,Cicha Woda
M-34-101-A-a-1-2-4,Cicha Woda
M-34-101-A-a-1-2-2,Cicha Woda
M-34-101-A-a-1-2-2,Chycakówka
M-34-101-A-a-3-2-2,Broniarski Żleb
M-34-101-A-a-3-2-1,Capowski Las
M-34-101-A-a-3-2-3,Kobyła
M-34-101-A-a-3-2-4,Kopy Sołtysie
M-34-101-A-a-3-2-3,Kotliny
M-34-101-A-a-3-2-2,Koziarczyska
M-34-101-A-a-3-2-2,Koziarski Żleb
M-34-101-A-a-3-2-4,Koziarski Żleb
M-34-101-A-a-3-2-2,Koziarski Żleb
M-34-101-A-a-3-2-4,Krzywań
M-34-101-A-a-3-2-4,Łężny Potok
M-34-101-A-a-3-2-3,Pańszczycki Potok
M-34-101-A-a-3-2-3,Pod Kobyłą
M-34-101-A-a-3-2-1,Podskalnia Polanka
M-34-101-A-a-3-2-4,Podspad
M-34-101-A-a-3-2-3,Polanka pod Kobyłą
M-34-101-A-a-3-2-4,Przednia Kopa Sołtysia
M-34-101-A-a-3-2-4,Przednia Sołtysia Przełęcz
M-34-101-A-a-3-2-1,Sichlański Potok
M-34-101-A-a-3-2-4,Skalnite
M-34-101-A-a-3-2-4,Sołtysia Skałka
M-34-101-A-a-3-2-2,Sucha Woda
M-34-101-A-a-3-2-1,Sucha Woda
M-34-101-A-a-3-2-3,Sucha Woda
M-34-101-A-a-3-2-1,Sucha Woda
M-34-101-A-a-3-2-4,Średnia Kopa Sołtysia
M-34-101-A-a-3-2-4,Średnia Sołtysia Przełęcz
M-34-101-A-a-3-2-4,Świniarski Żleb
M-34-101-A-a-3-2-2,Wawrzeczkowa Cyrla
M-34-101-A-a-3-2-2,Wysoki Regiel
M-34-101-A-a-3-2-2,Zbójecki Żlebek
M-34-101-A-a-3-2-2,Cyrhlański Regiel
M-34-101-A-a-3-2-2,Droga Oswalda Balzera
M-34-101-A-a-3-2-2,Zbójecka Skałka
M-34-100-B-a-4-1-3,Dolina Chochołowska
M-34-100-B-a-4-1-1,Polana Cicha
M-34-100-B-a-4-1-4,Cisowa Turnia
M-34-100-B-a-4-1-2,Habryłówka
M-34-100-B-a-4-1-4,Kowaniec
M-34-100-B-a-4-1-3,Koziniec
M-34-100-B-a-4-1-3,Koziniecki Źleb
M-34-100-B-a-4-1-4,Mała Sucha Dolina
M-34-100-B-a-4-1-3,Małe Koryciska
M-34-100-B-a-4-1-4,Mącicki Źleb
M-34-100-B-a-4-1-4,Merkusia Polana
M-34-100-B-a-4-1-3,Molkówka
M-34-100-B-a-4-1-4,Siwa Polana
M-34-100-B-a-4-1-2,Siwa Woda
M-34-100-B-a-4-1-4,Siwa Woda
M-34-100-B-a-4-1-3,Siwa Woda
M-34-100-B-a-4-1-3,Siwiańskie Turnie
M-34-100-B-a-4-1-4,Wielka Sucha Dolina
M-34-100-B-a-4-1-2,Zdychałówka
M-34-100-B-a-4-1-4,Suchy Potok
M-34-100-B-a-4-1-4,Suchy Potok
M-34-100-B-a-4-1-3,Siwiańska Dziura
M-34-100-B-a-4-1-3,Małe Koryciska
M-34-100-B-a-4-1-4,Merkusia Polana
M-34-100-B-a-4-1-1,Cicha Woda Orawska
M-34-100-B-a-4-1-3,Cicha Woda Orawska
M-34-100-B-a-4-1-3,Cicha Woda Orawska
M-34-100-B-a-4-1-4,Droga pod Reglami
M-34-100-B-a-4-1-4,Kowańcowy Żlebek
M-34-100-B-a-4-1-3,Mała Furkaska
M-34-100-B-a-4-1-1,Brama Orawska
M-34-100-B-a-4-4-4,Brama Kraszewskiego
M-34-100-B-a-4-4-2,Cudakowa Polana
M-34-100-B-a-4-4-3,Diabliniec
M-34-100-B-a-4-4-4,Dziurawiec
M-34-100-B-a-4-4-2,Kirowa Woda
M-34-100-B-a-4-4-2,Kirowa Woda
M-34-100-B-a-4-4-3,Przysłop Kominiarski
M-34-100-B-a-4-4-4,Kopki
M-34-100-B-a-4-4-1,Kopki
M-34-100-B-a-4-4-4,Dolina Kościeliska
M-34-100-B-a-4-4-2,Kościeliski Potok
M-34-100-B-a-4-4-4,Kościeliski Potok
M-34-100-B-a-4-4-4,Kościeliski Potok
M-34-100-B-a-4-4-1,Kościeliskie Kopki
M-34-100-B-a-4-4-1,Dolina Lejowa
M-34-100-B-a-4-4-3,Lejowy Potok
M-34-100-B-a-4-4-3,Lejowy Potok
M-34-100-B-a-4-4-1,Lejowy Potok
M-34-100-B-a-4-4-1,Lejówki
M-34-100-B-a-4-4-4,Lodowe Źródło
M-34-100-B-a-4-4-2,Miętusi Potok
M-34-100-B-a-4-4-2,Dolina Miętusia
M-34-100-B-a-4-4-4,Jaskinia Mroźna
M-34-100-B-a-4-4-4,Jaskinia Naciekowa
M-34-100-B-a-4-4-4,Niżnia Jaskinia nad Mostkiem
M-34-100-B-a-4-4-3,Niżnia Komiarska Polana
M-34-100-B-a-4-4-1,Pośrednia Kopka
M-34-100-B-a-4-4-4,Stare Kościeliska
M-34-100-B-a-4-4-1,Świńska Turnia
M-34-100-B-a-4-4-2,Wściekły Źleb
M-34-100-B-a-4-4-4,Wysranki
M-34-100-B-a-4-4-4,Wyżnia Jaskinia nad Mostkiem
M-34-100-B-a-4-4-2,Wyżnia Kira Miętusia
M-34-100-B-a-4-4-3,Zabijak
M-34-100-B-a-4-4-3,Zabijak
M-34-100-B-a-4-4-2,Zadnia Kopka
M-34-100-B-a-4-4-2,Zahradziska
M-34-100-B-a-4-4-4,Żleb pod Wysranki
M-34-100-B-a-4-4-4,Dziura nad Wapiennikiem
M-34-100-B-a-4-4-4,Jaskinia Goryckiego
M-34-100-B-a-4-4-4,Jaskinia między Żleby
M-34-100-B-a-4-4-4,Korytarz do Jaskini Naciekowej
M-34-100-B-a-4-4-4,Nisza z Jaworem
M-34-100-B-a-4-4-4,Schron pod Jaskinią Goryckiego
M-34-100-B-a-4-4-4,Schron ze Świeczką
M-34-100-B-a-4-4-4,Szczelina nad Mostkiem
M-34-100-B-a-4-4-4,Szczelina przy Dziurawcu
M-34-100-B-a-4-4-4,Szczelina za Okrętem Pierwsza
M-34-100-B-a-4-4-4,Szczelina za Okrętem Druga
M-34-100-B-a-4-4-4,Szczelina za Okrętem Trzecia
M-34-100-B-a-4-4-4,Tatowa Szczelina
M-34-100-B-a-4-4-4,Wąska Szczelina
M-34-100-B-a-4-4-4,Jaskinia w Małym Krakowie
M-34-100-B-a-4-4-4,Komora w Okręcie
M-34-100-B-a-4-4-4,Kolisty Grzbiet
M-34-100-B-a-4-4-4,Okręt
M-34-100-B-a-4-4-3,Niżnia Kominiarska Polana
M-34-100-B-a-4-4-1,Huty
M-34-100-B-a-4-4-1,Kopka
M-34-100-B-a-4-4-3,Scieżka nad Reglami
M-34-100-B-a-4-4-4,Scieżka nad Reglami
M-34-100-B-a-4-4-2,Scieżka nad Reglami
M-34-100-B-a-4-4-1,Hala Lejowa
M-34-100-B-a-4-4-1,Hala Lejowa
M-34-100-B-a-4-4-2,Żeleźniak
M-34-100-B-a-4-4-4,Zastolański Żleb
M-34-100-B-a-4-4-4,Żleb nad Mostkiem
M-34-100-B-a-4-4-4,Niżnia Polana na Stołach
M-34-100-B-a-4-4-3,Tylkowy Żleb
M-34-100-B-a-4-4-4,Upłaźiński Żleb
M-34-100-B-a-4-4-4,Mały Kraków
M-34-100-B-a-4-4-4,Zbójeckie Siodło
M-34-100-B-a-4-4-4,Kaplica Zbónicka
M-34-100-B-b-2-1-2,Las do Gąszcza
M-34-100-B-b-2-1-3,Furmanów Wierch
M-34-100-B-b-2-1-3,Kotelnicki Potok
M-34-100-B-b-2-1-4,Kotelnicki Potok
M-34-100-B-b-2-1-1,Ligasowski Potok
M-34-100-B-b-2-1-1,Ligasowski Potok
M-34-100-B-b-2-1-4,Michnów Potok
M-34-100-B-b-2-1-2,Rafaczański Potok
M-34-100-B-b-2-1-2,Rafaczański Potok
M-34-100-B-b-2-1-3,Reblów Potok
M-34-100-B-b-2-1-3,Reblów Potok
M-34-100-B-b-2-1-1,Suchy
M-34-100-B-b-2-1-4,Kotlina Zakopiańska
M-34-100-B-b-4-4-2,Boczań
M-34-100-B-b-4-4-3,Boczań Kasprowy
M-34-100-B-b-4-4-3,Bystra
M-34-100-B-b-4-4-1,Bystra
M-34-100-B-b-4-4-1,Bystra
M-34-100-B-b-4-4-1,Dolina Bystrej
M-34-100-B-b-4-4-1,Cyganka
M-34-100-B-b-4-4-4,Czerwienica
M-34-100-B-b-4-4-2,Czerwona Glina
M-34-100-B-b-4-4-4,Długi Żleb
M-34-100-B-b-4-4-3,Dudnica
M-34-100-B-b-4-4-3,Dolina Goryczkowa
M-34-100-B-b-4-4-3,Jaskinia Goryczkowa
M-34-100-B-b-4-4-3,Goryczkowe Wywierzysko
M-34-100-B-b-4-4-3,Goryczkowy Potok
M-34-100-B-b-4-4-3,Goryczkowy Potok
M-34-100-B-b-4-4-4,Gruba Turnia
M-34-100-B-b-4-4-4,Herbik
M-34-100-B-b-4-4-4,Jałowiarczysko
M-34-100-B-b-4-4-4,Jaskinia w Czubie Jaworzyńskiej
M-34-100-B-b-4-4-4,Jaworzynka
M-34-100-B-b-4-4-4,Jaworzynka
M-34-100-B-b-4-4-1,Jaworzynka
M-34-100-B-b-4-4-2,Jaworzynka
M-34-100-B-b-4-4-2,Jaworzynka
M-34-100-B-b-4-4-1,Jaworzynka
M-34-100-B-b-4-4-4,Jaworzynka
M-34-100-B-b-4-4-1,Jaworzynka
M-34-100-B-b-4-4-4,Jaworzynka
M-34-100-B-b-4-4-4,Jaworzyńska Czuba
M-34-100-B-b-4-4-3,Jaworzyńskie Czoła
M-34-100-B-b-4-4-3,Kamienne
M-34-100-B-b-4-4-3,Jaskinia Kasprowa Niżnia
M-34-100-B-b-4-4-3,Kasprowa Polana
M-34-100-B-b-4-4-3,Jaskinia Kasprowa Średnia
M-34-100-B-b-4-4-4,Jaskinia Kasprowa Wyżnia
M-34-100-B-b-4-4-3,Kasprowy Potok
M-34-100-B-b-4-4-3,Kasprowy Potok
M-34-100-B-b-4-4-3,Kasprowy Potok
M-34-100-B-b-4-4-3,Kasprowy Stawek
M-34-100-B-b-4-4-4,Kolebiska
M-34-100-B-b-4-4-4,Kolebiska
M-34-100-B-b-4-4-3,Kondrackie Rówienki
M-34-100-B-b-4-4-3,Jaskinia Korytarzowa
M-34-100-B-b-4-4-4,Kościelec
M-34-100-B-b-4-4-2,Krzemionka
M-34-100-B-b-4-4-4,Limbowe
M-34-100-B-b-4-4-4,Jaskinia Magurska
M-34-100-B-b-4-4-4,Małe Siodło
M-34-100-B-b-4-4-4,Mnich
M-34-100-B-b-4-4-3,Myślenicka Dziura
M-34-100-B-b-4-4-3,Myślenickie Turnie
M-34-100-B-b-4-4-2,Nieborak
M-34-100-B-b-4-4-1,Niżnia Rówień
M-34-100-B-b-4-4-1,Obłaz
M-34-100-B-b-4-4-4,Ogrody
M-34-100-B-b-4-4-2,Opaleniec
M-34-100-B-b-4-4-4,Jaskinia Partyzancka Druga
M-34-100-B-b-4-4-4,Jaskinia Partyzancka Pierwsza
M-34-100-B-b-4-4-2,Parzące Turnie
M-34-100-B-b-4-4-4,Jaskinia pod Limbą
M-34-100-B-b-4-4-3,Jaskinia pod Szczytem
M-34-100-B-b-4-4-4,Ptaki
M-34-100-B-b-4-4-4,Rynna
M-34-100-B-b-4-4-4,Skrzynia
M-34-100-B-b-4-4-4,Skupniów Upłaz
M-34-100-B-b-4-4-4,Solnisko
M-34-100-B-b-4-4-4,Struć
M-34-100-B-b-4-4-1,Szeroki Źleb
M-34-100-B-b-4-4-4,Szerokie
M-34-100-B-b-4-4-1,Szerokie Kalackie
M-34-100-B-b-4-4-1,Śpiąca Góra
M-34-100-B-b-4-4-4,Upłazki
M-34-100-B-b-4-4-2,Wysokie
M-34-100-B-b-4-4-3,Wywierzysko Bystrej
M-34-100-B-b-4-4-4,Wyżnia Polana Jaworzyńska
M-34-100-B-b-4-4-2,Wyżnia Rówień
M-34-100-B-b-4-4-3,Zawracik Kasprowy
M-34-100-B-b-4-4-3,Zawracik Kasprowy
M-34-100-B-b-4-4-4,Zawracik
M-34-100-B-b-4-4-2,Zgorzelec
M-34-100-B-b-4-4-1,Źródliska
M-34-100-B-b-4-4-4,Żleb pod Czerwienicą
M-34-100-B-b-4-4-4,Żłobki
M-34-100-B-b-4-4-3,Dziura pod Kamieniem
M-34-100-B-b-4-4-3,Grota u Podnóża Myślenickich Turni
M-34-100-B-b-4-4-4,Grotka Zwolińskiego
M-34-100-B-b-4-4-2,Jaskinia w Cycku
M-34-100-B-b-4-4-4,Jaworzyńska Nyża pod Iglicą
M-34-100-B-b-4-4-4,Kasprowe Schronisko
M-34-100-B-b-4-4-3,Korytarzyk nad Jaskinią Kalacką
